iter	Logloss
0	0.6884517569
1	0.6844756866
2	0.6792220057
3	0.6742262789
4	0.6692754137
5	0.6656219701
6	0.6610321439
7	0.6563850141
8	0.65217814
9	0.6477886978
10	0.644447732
11	0.6406645572
12	0.6373106343
13	0.6331680263
14	0.6290692501
15	0.6256502896
16	0.6220783354
17	0.6185798298
18	0.6150099713
19	0.611147536
20	0.6074783223
21	0.6042777588
22	0.6009132499
23	0.5978293734
24	0.5940713082
25	0.5911611729
26	0.5879634028
27	0.5848764132
28	0.5820086744
29	0.5789643685
30	0.5764684702
31	0.5740607453
32	0.570853117
33	0.5687775768
34	0.5655478867
35	0.5628418241
36	0.5598747967
37	0.5576119469
38	0.5552274801
39	0.5537227578
40	0.5513491493
41	0.5499202921
42	0.5473280925
43	0.54519062
44	0.543355138
45	0.5409522176
46	0.5390818645
47	0.5369414625
48	0.5343479849
49	0.532336352
50	0.5303981718
51	0.5282491363
52	0.5266093081
53	0.5247789384
54	0.5229188507
55	0.5216643977
56	0.5199612729
57	0.5180809349
58	0.516332432
59	0.5139911466
60	0.5120794103
61	0.5106483804
62	0.5088739551
63	0.5069450683
64	0.50520293
65	0.5030366329
66	0.5016387507
67	0.499516207
68	0.4980603165
69	0.4969607562
70	0.4948152542
71	0.4931808622
72	0.4915460929
73	0.4899501164
74	0.4884024058
75	0.4867558872
76	0.4849155325
77	0.4831814131
78	0.4818807515
79	0.4805983184
80	0.4793184703
81	0.4781308134
82	0.4765207526
83	0.4750842289
84	0.4736393828
85	0.4720892911
86	0.4706904881
87	0.4696415719
88	0.4684857105
89	0.4674786938
90	0.4663416257
91	0.4651707092
92	0.4640535146
93	0.462985153
94	0.4617815728
95	0.4605615203
96	0.4597266555
97	0.4582346973
98	0.4570587536
99	0.4561042575
100	0.4550774505
101	0.4539965468
102	0.4529040782
103	0.4520809485
104	0.4507132514
105	0.4494846996
106	0.4483971444
107	0.4474268321
108	0.4463978423
109	0.4454392631
110	0.4447499205
111	0.4438523152
112	0.4429010055
113	0.4418392324
114	0.4408904354
115	0.4400816579
116	0.4394770929
117	0.4386683932
118	0.4376194855
119	0.4370863108
120	0.4365695585
121	0.4357594171
122	0.4350302317
123	0.4340843976
124	0.4329183812
125	0.4321999074
126	0.4315854474
127	0.4308529386
128	0.4304111177
129	0.4299200969
130	0.4291756808
131	0.4285263907
132	0.4276841076
133	0.4270497535
134	0.4267719459
135	0.426304975
136	0.4257409436
137	0.4248758513
138	0.4243543117
139	0.4237784034
140	0.4232831334
141	0.4229263739
142	0.4222336496
143	0.4215381084
144	0.4211135492
145	0.4204157746
146	0.4196482165
147	0.4190324634
148	0.4184610617
149	0.4178327067
150	0.4170620017
151	0.4166758669
152	0.4161541725
153	0.4154236815
154	0.4147717884
155	0.4142149667
156	0.4136835615
157	0.4132346613
158	0.4124719897
159	0.411994477
160	0.4118189517
161	0.4115117376
162	0.4113117054
163	0.410857385
164	0.4101964253
165	0.4099637484
166	0.4092875268
167	0.4085076328
168	0.4077979945
169	0.4074335539
170	0.407052118
171	0.4066860483
172	0.4062125059
173	0.4059212323
174	0.4055386232
175	0.4052222486
176	0.4049880418
177	0.4045665459
178	0.4039017186
179	0.4034103762
180	0.4029758801
181	0.4026546608
182	0.4020966358
183	0.4014271334
184	0.4010926088
185	0.4008232852
186	0.4004364166
187	0.4002320799
188	0.3996843174
189	0.3992614494
190	0.3989294853
191	0.3986258222
192	0.3983119738
193	0.3979163168
194	0.3974663256
195	0.397066832
196	0.3965589726
197	0.3962104088
198	0.3959647798
199	0.3956211184
200	0.3951215977
201	0.3946598723
202	0.3942016721
203	0.39370159
204	0.3934709696
205	0.3932145451
206	0.3928082803
207	0.3921985823
208	0.3917790135
209	0.3912009253
210	0.3907041481
211	0.3903923521
212	0.3899076509
213	0.3894991078
214	0.3893270547
215	0.3890417113
216	0.3889010986
217	0.3885937786
218	0.3883244991
219	0.3880796788
220	0.3876549772
221	0.3875054209
222	0.3870210327
223	0.3868552276
224	0.3867204851
225	0.3864240654
226	0.3860321022
227	0.3858657438
228	0.3857440018
229	0.38553597
230	0.3852009213
231	0.3849208016
232	0.3845399551
233	0.3841980444
234	0.3839704645
235	0.3837424389
236	0.3835098313
237	0.383213899
238	0.3829232933
239	0.3826380151
240	0.3821353189
241	0.38190531
242	0.3817102847
243	0.3815303315
244	0.3812763396
245	0.3808838001
246	0.3807414622
247	0.3803676986
248	0.3801316497
249	0.3799000709
250	0.3795993734
251	0.3793958577
252	0.3791517351
253	0.3788544677
254	0.3784561285
255	0.3784432195
256	0.3782323133
257	0.3778374846
258	0.3774846991
259	0.3771599164
260	0.3771041642
261	0.3768108194
262	0.3765509715
263	0.3761756615
264	0.3759895578
265	0.3757814044
266	0.3755809962
267	0.3753113711
268	0.3750353364
269	0.3747335531
270	0.3743813274
271	0.3741578007
272	0.373994088
273	0.3737871757
274	0.373530063
275	0.373332302
276	0.3730932242
277	0.3727828548
278	0.3726114846
279	0.3723538891
280	0.3720375091
281	0.3717854424
282	0.3716701025
283	0.3714112998
284	0.3711136658
285	0.3709234081
286	0.3707809678
287	0.3704609957
288	0.3702499232
289	0.3700843696
290	0.3700185657
291	0.3697953844
292	0.3696090443
293	0.3694178431
294	0.3690037979
295	0.3689455063
296	0.3686865832
297	0.3683564146
298	0.3681158484
299	0.3677813117
300	0.3674327499
301	0.3672643127
302	0.3668153874
303	0.3665844756
304	0.3664664708
305	0.3662375911
306	0.366042842
307	0.365947292
308	0.3657353263
309	0.3656417108
310	0.3652494314
311	0.3648294935
312	0.3647054431
313	0.3645530104
314	0.3642530128
315	0.3640620746
316	0.3638557317
317	0.3636917093
318	0.3633742602
319	0.3631209879
320	0.3629974942
321	0.3628750893
322	0.3625345381
323	0.362365038
324	0.3620420455
325	0.361879199
326	0.3617806071
327	0.361599733
328	0.361325233
329	0.3611904861
330	0.3610613021
331	0.3609433082
332	0.3607248125
333	0.3605360442
334	0.360437362
335	0.3603205044
336	0.3600471603
337	0.3598575811
338	0.3595792724
339	0.3594302339
340	0.3592527265
341	0.3590670609
342	0.358836964
343	0.3586873411
344	0.35845097
345	0.3583264864
346	0.3581085235
347	0.3579851687
348	0.357789489
349	0.3576751932
350	0.3575493586
351	0.3574080837
352	0.3572304383
353	0.3570305977
354	0.3569210451
355	0.3567727496
356	0.3567109949
357	0.3565349775
358	0.3563361393
359	0.3558264663
360	0.3554631771
361	0.3553619352
362	0.3551817938
363	0.3547850602
364	0.3547128704
365	0.3545400483
366	0.3544098104
367	0.3542504611
368	0.3540519629
369	0.3539454554
370	0.353813306
371	0.3535714428
372	0.3534661868
373	0.3533784375
374	0.3531957946
375	0.3531093942
376	0.3529510213
377	0.3528296446
378	0.3525648976
379	0.3525610257
380	0.35229226
381	0.3521357599
382	0.3518901475
383	0.351800732
384	0.351646995
385	0.3515228828
386	0.3514101176
387	0.351239116
388	0.3510345424
389	0.350766015
390	0.3505401492
391	0.3504066085
392	0.3503544734
393	0.3502575187
394	0.3499759095
395	0.3497374697
396	0.3496116204
397	0.3494326383
398	0.3491821227
399	0.3489783852
400	0.3488238589
401	0.3486292111
402	0.348408835
403	0.3482829693
404	0.3481460693
405	0.347883811
406	0.3478278735
407	0.347621499
408	0.3475065616
409	0.347237656
410	0.3470762747
411	0.3469482564
412	0.346806776
413	0.3466506695
414	0.3465485013
415	0.3464759003
416	0.3463181724
417	0.345878938
418	0.34575603
419	0.3456716853
420	0.3453959064
421	0.3451978238
422	0.3450553291
423	0.3449640497
424	0.3446649943
425	0.3445864593
426	0.3445225231
427	0.3443810319
428	0.3442198984
429	0.3440986606
430	0.3439434888
431	0.3436315784
432	0.3434633353
433	0.3433210217
434	0.342991114
435	0.3428592004
436	0.3427243708
437	0.3426762006
438	0.3425646512
439	0.3425068105
440	0.3420650242
441	0.3419332426
442	0.3418546147
443	0.3417194972
444	0.3415557207
445	0.3413409317
446	0.3411280616
447	0.3410106494
448	0.3408785073
449	0.3407691151
450	0.3406334305
451	0.3404826419
452	0.3403941942
453	0.3402030136
454	0.3398552934
455	0.339811803
456	0.3397183625
457	0.3396147856
458	0.3393706513
459	0.3390949863
460	0.3388886198
461	0.3387799569
462	0.3386844854
463	0.338545997
464	0.3384825909
465	0.3383736254
466	0.3381872525
467	0.3380541015
468	0.3379836333
469	0.3378766189
470	0.337653082
471	0.3375287261
472	0.3373666866
473	0.3371646869
474	0.3371172512
475	0.3370087201
476	0.3369545735
477	0.336771262
478	0.3366832573
479	0.336467471
480	0.3363369351
481	0.3361010017
482	0.3360374459
483	0.3359575195
484	0.3359064193
485	0.3358657825
486	0.3357843573
487	0.3357184229
488	0.3356726204
489	0.335550852
490	0.3354501198
491	0.3353728295
492	0.3352592497
493	0.3351168674
494	0.3349358625
495	0.3346384747
496	0.3345310741
497	0.3344035513
498	0.3343147572
499	0.33422224
500	0.3340010187
501	0.3339144098
502	0.3336939079
503	0.3335464586
504	0.3332511135
505	0.3331281394
506	0.3327779916
507	0.3326920161
508	0.3326268752
509	0.3324920033
510	0.3323953575
511	0.3322417108
512	0.3320939748
513	0.3320535248
514	0.3319104311
515	0.3318348031
516	0.3316333994
517	0.3314894803
518	0.3313755911
519	0.3312286127
520	0.3310991995
521	0.3310356343
522	0.3309062599
523	0.330762314
524	0.3306000895
525	0.3304483709
526	0.3303913631
527	0.3303255584
528	0.3302745578
529	0.3302071002
530	0.3301116603
531	0.3299157069
532	0.3297866148
533	0.3297649159
534	0.3296917336
535	0.3294024671
536	0.3292516398
537	0.3290913979
538	0.3289154429
539	0.3289041021
540	0.3288082499
541	0.3285963396
542	0.3285200548
543	0.3284001309
544	0.3283300834
545	0.3282100716
546	0.3281240375
547	0.327886191
548	0.3277733245
549	0.3277646748
550	0.3277051824
551	0.3275813471
